Date,SHOP
2/5/2019,173.57
2/6/2019,173.6
2/7/2019,171.8
2/8/2019,175.95
2/11/2019,173.17
2/12/2019,175.55
2/13/2019,172.02
2/14/2019,176.52
2/15/2019,178.19
2/19/2019,181.3
2/20/2019,179.21
2/21/2019,178.47
2/22/2019,183.63
2/25/2019,187.5
2/26/2019,185.03
2/27/2019,189.2
2/28/2019,189.15
3/1/2019,191.52
3/4/2019,186.47
3/5/2019,187.5
3/6/2019,187.37
3/7/2019,186.94
3/8/2019,189.76
3/11/2019,200.39
3/12/2019,202.47
3/13/2019,205.51
3/14/2019,208.23
3/15/2019,205.98
3/18/2019,205.77
3/19/2019,202.09
3/20/2019,201.34
3/21/2019,205
3/22/2019,198.75
3/25/2019,201.45
3/26/2019,204.37
3/27/2019,200.08
3/28/2019,203.45
3/29/2019,206.62
4/1/2019,206.04
4/2/2019,201.46
4/3/2019,205.12
4/4/2019,194.75
4/5/2019,196.65
4/8/2019,200.24
4/9/2019,203.96
4/10/2019,206.5
4/11/2019,210.99
4/12/2019,214.83
4/15/2019,218.03
4/16/2019,215.4
4/17/2019,217.05
4/18/2019,220.72
4/22/2019,224.29
4/23/2019,223.44
4/24/2019,219.81
4/25/2019,218.97
4/26/2019,222.28
4/29/2019,225.79
4/30/2019,243.53
5/1/2019,245.16
5/2/2019,255.54
5/3/2019,264.03
5/6/2019,265.52
5/7/2019,258.69
5/8/2019,261.51
5/9/2019,260.62
5/10/2019,258.83
5/13/2019,250.79
5/14/2019,253.15
5/15/2019,264.16
5/16/2019,278.01
5/17/2019,273.5
5/20/2019,267.19
5/21/2019,272.81
5/22/2019,279
5/23/2019,271.62
5/24/2019,275.85
5/28/2019,282.43
5/29/2019,272.68
5/30/2019,277.05
5/31/2019,274.9
6/3/2019,265
6/4/2019,274
6/5/2019,292.52
6/6/2019,297.06
6/7/2019,305.05
6/10/2019,306.73
6/11/2019,306.71
6/12/2019,310.14
6/13/2019,306.99
6/14/2019,305.11
6/17/2019,305.85
6/18/2019,304.21
6/19/2019,327.02
6/20/2019,328.01
6/21/2019,326.85
6/24/2019,311.83
6/25/2019,284.04
6/26/2019,289.03
6/27/2019,300.96
6/28/2019,300.15
7/1/2019,304.68
7/2/2019,311.96
7/3/2019,313.33
7/5/2019,313.72
7/8/2019,321
7/9/2019,321.98
7/10/2019,319.01
7/11/2019,315
7/12/2019,310.02
7/15/2019,324.02
7/16/2019,317.39
7/17/2019,325.32
7/18/2019,331.15
7/19/2019,330
7/22/2019,335.24
7/23/2019,330.22
7/24/2019,329.57
7/25/2019,333.34
7/26/2019,336.54
7/29/2019,319.71
7/30/2019,314.3
7/31/2019,317.88
8/1/2019,341.39
8/2/2019,332.19
8/5/2019,321.39
8/6/2019,332.67
8/7/2019,341.31
8/8/2019,357.81
8/9/2019,369.95
8/12/2019,366.73
8/13/2019,369.23
8/14/2019,352.8
8/15/2019,351.07
8/16/2019,358.74
8/19/2019,361.83
8/20/2019,374.97
8/21/2019,389.83
8/22/2019,388.54
8/23/2019,382.75
8/26/2019,395.96
8/27/2019,406.99
8/28/2019,394.8
8/29/2019,391.71
8/30/2019,385.39
9/3/2019,383.91
9/4/2019,386.49
9/5/2019,392.72
9/6/2019,380.42
9/9/2019,358.67
9/10/2019,337.24
9/11/2019,347.51
9/12/2019,356.63
9/13/2019,338.31
9/16/2019,337.93
9/17/2019,328.82
9/18/2019,325.85
9/19/2019,325
9/20/2019,318.82
9/23/2019,313.26
9/24/2019,295.47
9/25/2019,314.6
9/26/2019,313.14
9/27/2019,305.69
9/30/2019,311.66
10/1/2019,313.22
10/2/2019,310.36
10/3/2019,325.57
10/4/2019,327.2
10/7/2019,326.32
10/8/2019,311.05
10/9/2019,313.85
10/10/2019,324.47
10/11/2019,329.26
10/14/2019,344.3
10/15/2019,346.08
10/16/2019,323.64
10/17/2019,331.34
10/18/2019,314.34
10/21/2019,319.73
10/22/2019,299.69
10/23/2019,297.14
10/24/2019,323.34
10/25/2019,317.45
10/28/2019,324.93
10/29/2019,312.52
10/30/2019,319.12
10/31/2019,313.57
11/1/2019,316.76
11/4/2019,307.91
11/5/2019,295.5
11/6/2019,295.02
11/7/2019,285.75
11/8/2019,297.64
11/11/2019,303.32
11/12/2019,305.56
11/13/2019,314.31
11/14/2019,312.45
11/15/2019,312.38
11/18/2019,322.98
11/19/2019,316.28
11/20/2019,317.05
11/21/2019,316.07
11/22/2019,314.52
11/25/2019,317.07
11/26/2019,336.19
11/27/2019,341
11/29/2019,336.75
12/2/2019,330.84
12/3/2019,350.66
12/4/2019,372
12/5/2019,363.59
12/6/2019,364.6
12/9/2019,369.79
12/10/2019,368
12/11/2019,373.08
12/12/2019,372.05
12/13/2019,385.57
12/16/2019,393.63
12/17/2019,387.95
12/18/2019,396.94
12/19/2019,393.06
12/20/2019,390.07
12/23/2019,389.13
12/24/2019,399.39
12/26/2019,408.75
12/27/2019,408
12/30/2019,396.36
12/31/2019,397.58
1/2/2020,407.81
1/3/2020,404.29
1/6/2020,413.33
1/7/2020,414.5
1/8/2020,418.1
1/9/2020,430.2
1/10/2020,429.17
1/13/2020,440.25
1/14/2020,441.22
1/15/2020,448.51
1/16/2020,451.3
1/17/2020,454.88
1/21/2020,465.44
1/22/2020,464.76
1/23/2020,469.25
1/24/2020,465.48
1/27/2020,451.11
1/28/2020,467.66
1/29/2020,471.67
1/30/2020,476.88
1/31/2020,465.66
2/3/2020,469.39
2/4/2020,485.46
2/5/2020,475.56
2/6/2020,472.98
2/7/2020,478.69
2/10/2020,491.69
2/11/2020,492.75
2/12/2020,531.25
2/13/2020,532.97
2/14/2020,531.22
2/18/2020,536.41
2/19/2020,543.21
2/20/2020,535.58
2/21/2020,520.66
2/24/2020,490.96
2/25/2020,466.46
2/26/2020,471.18
2/27/2020,438.37
2/28/2020,463.31
3/2/2020,488.4
3/3/2020,476.94
3/4/2020,512.23
3/5/2020,498.22
3/6/2020,472.07
3/9/2020,418.32
3/10/2020,450.34
3/11/2020,422.31
3/12/2020,377.78
3/13/2020,390.9
3/16/2020,322.29
3/17/2020,355.09
3/18/2020,336.83
3/19/2020,332.5
3/20/2020,346.06
3/23/2020,375.39
3/24/2020,430
3/25/2020,446.6
3/26/2020,447.41
3/27/2020,421.62
3/30/2020,430.38
3/31/2020,416.93
4/1/2020,384.67
4/2/2020,346.3
4/3/2020,357.65
4/6/2020,392.65
4/7/2020,378.54
4/8/2020,414.51
4/9/2020,417.74
4/13/2020,447.45
4/14/2020,496.06
4/15/2020,497.17
4/16/2020,526.43
4/17/2020,590.39
4/20/2020,629.9
4/21/2020,585
4/22/2020,626.56
4/23/2020,620.49
4/24/2020,643.19
4/27/2020,628.58
4/28/2020,633.65
4/29/2020,639.99
4/30/2020,632.29
5/1/2020,613.64
5/4/2020,658.89
5/5/2020,686.11
5/6/2020,733.53
5/7/2020,722.76
5/8/2020,708.97
5/11/2020,750.34
5/12/2020,742.28
5/13/2020,754.38
5/14/2020,754.29
5/15/2020,767
5/18/2020,738.02
5/19/2020,753.01
5/20/2020,778
5/21/2020,802.35
5/22/2020,825.17
5/26/2020,767.89
5/27/2020,750
5/28/2020,744.43
5/29/2020,757.8
6/1/2020,758
6/2/2020,779.5
6/3/2020,762.02
6/4/2020,735.19
6/5/2020,727.77
6/8/2020,730.67
6/9/2020,741.7
6/10/2020,743.64
6/11/2020,725.12
6/12/2020,742.58
