Date,RBC
6/22/2017,71.07
6/23/2017,71.03
6/26/2017,70.96
6/27/2017,71.44
6/28/2017,72.97
6/29/2017,72.78
6/30/2017,72.52
7/3/2017,73.39
7/5/2017,73.23
7/6/2017,73.32
7/7/2017,73.8
7/10/2017,73.62
7/11/2017,73.5
7/12/2017,74.55
7/13/2017,74.77
7/14/2017,75.3
7/17/2017,75.01
7/18/2017,75
7/19/2017,75.38
7/20/2017,75.64
7/21/2017,75.57
7/24/2017,74.94
7/25/2017,75.1
7/26/2017,74.89
7/27/2017,74.23
7/28/2017,74.62
7/31/2017,74.56
8/1/2017,74.55
8/2/2017,74.89
8/3/2017,74.7
8/4/2017,74.74
8/7/2017,74.51
8/8/2017,74.74
8/9/2017,74.23
8/10/2017,72.89
8/11/2017,72.89
8/14/2017,73.5
8/15/2017,73.22
8/16/2017,73.61
8/17/2017,72.96
8/18/2017,73.32
8/21/2017,73.32
8/22/2017,73.24
8/23/2017,74.22
8/24/2017,74.23
8/25/2017,74.76
8/28/2017,74.45
8/29/2017,74.09
8/30/2017,73.23
8/31/2017,74.06
9/1/2017,74.33
9/5/2017,73.32
9/6/2017,74.29
9/7/2017,74.6
9/8/2017,74.53
9/11/2017,75.14
9/12/2017,75.31
9/13/2017,75.64
9/14/2017,75.61
9/15/2017,75.5
9/18/2017,74.97
9/19/2017,75.79
9/20/2017,75.95
9/21/2017,76.41
9/22/2017,76.53
9/25/2017,76.31
9/26/2017,76.46
9/27/2017,76.46
9/28/2017,77.18
9/29/2017,77.35
10/2/2017,77.58
10/3/2017,78.35
10/4/2017,78.4
10/5/2017,78.11
10/6/2017,78.25
10/9/2017,77.78
10/10/2017,78.6
10/11/2017,79.37
10/12/2017,79.09
10/13/2017,79.3
10/16/2017,79.3
10/17/2017,79.62
10/18/2017,80.29
10/19/2017,80.74
10/20/2017,80.26
10/23/2017,80.19
10/24/2017,80.48
10/25/2017,78.34
10/26/2017,78.58
10/27/2017,78.9
10/30/2017,78.73
10/31/2017,78.15
11/1/2017,78.31
11/2/2017,79.1
11/3/2017,79.42
11/6/2017,79.75
11/7/2017,79.31
11/8/2017,79.42
11/9/2017,79.43
11/10/2017,78.74
11/13/2017,78.57
11/14/2017,78.45
11/15/2017,78.3
11/16/2017,78.81
11/17/2017,79.03
11/20/2017,78.93
11/21/2017,78.95
11/22/2017,79.79
11/24/2017,79.63
11/27/2017,79.12
11/28/2017,78.39
11/29/2017,78.9
11/30/2017,78.3
12/1/2017,79.81
12/4/2017,79.8
12/5/2017,79.46
12/6/2017,79.19
12/7/2017,79.34
12/8/2017,79.64
12/11/2017,79.2
12/12/2017,79.35
12/13/2017,79.59
12/14/2017,79.55
12/15/2017,79.17
12/18/2017,79.57
12/19/2017,79.75
12/20/2017,79.84
12/21/2017,80.73
12/22/2017,80.53
12/26/2017,80.39
12/27/2017,80.84
12/28/2017,81.65
12/29/2017,81.65
1/2/2018,82.33
1/3/2018,82.84
1/4/2018,83.92
1/5/2018,84.4
1/8/2018,84.03
1/9/2018,84.12
1/10/2018,83.7
1/11/2018,83.88
1/12/2018,84.35
1/16/2018,85.18
1/17/2018,85.54
1/18/2018,86.11
1/19/2018,86.13
1/22/2018,86.75
1/23/2018,86.41
1/24/2018,85.97
1/25/2018,85.45
1/26/2018,85.84
1/29/2018,85.25
1/30/2018,85.56
1/31/2018,85.67
2/1/2018,85.26
2/2/2018,83.35
2/5/2018,80.71
2/6/2018,81.03
2/7/2018,80.4
2/8/2018,78.62
2/9/2018,78.62
